id_usuario,activaToken,logIns, fecha_registro, dg_1, dg_2, dg_3, dg_4, dg_5, dg_6, dg_7,dg_8, fecha_resp_DG
43245,Activo,1,22/01/2024 16:11,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo
43249,Activo,1,22/01/2024 18:16,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo
43250,Activo,2,22/01/2024 18:31,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo
43256,Activo,1,23/01/2024 09:04,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo
43263,Activo,1,23/01/2024 17:18,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo
43269,Activo,1,23/01/2024 20:40,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo
43287,Activo,1,26/01/2024 10:50,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo
43293,Activo,1,26/01/2024 19:00,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo
43297,Activo,1,27/01/2024 11:37,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo
43298,Activo,1,27/01/2024 11:41,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo
43307,Activo,1,29/01/2024 18:37,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo
43315,Inactivo,0,30/01/2024 17:38,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo
43328,Inactivo,0,31/01/2024 19:01,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo
