anio,mes,lpei,lpi,desagregacion
2018,Sep,1522.46,3019.67,Urbano
2018,Oct,1072.36,1956.34,Rural
2018,Oct,1513.59,3027.3,Urbano
2018,Nov,1090.17,1983.75,Rural
2018,Nov,1530.56,3061.77,Urbano
2018,Dic,1113.23,2008.71,Rural
2018,Dic,1556.24,3089.37,Urbano
2019,Ene,1120.44,2017.35,Rural
2019,Ene,1568.07,3103.77,Urbano
2019,Feb,1103.01,2002.96,Rural
2019,Feb,1554.12,3095.54,Urbano
2019,Mar,1110.5,2012.94,Rural
2019,Mar,1562.72,3108.18,Urbano
2019,Abr,1117.4,2014.72,Rural
2019,Abr,1569.36,3104.57,Urbano
2019,May,1109.52,1997.4,Rural
2019,May,1562.26,3079.62,Urbano
2019,Jun,1100.29,1986.48,Rural
2019,Jun,1552.41,3067.01,Urbano
2019,Jul,1117.09,2003.22,Rural
2019,Jul,1568.96,3083.19,Urbano
2019,Ago,1105.87,1995.63,Rural
2019,Ago,1560.18,3081.1,Urbano
2019,Sep,1105.39,1999.84,Rural
2019,Sep,1561.33,3091.84,Urbano
2019,Oct,1105.8,2010.91,Rural
2019,Oct,1561.59,3111.36,Urbano
2019,Nov,1117.79,2036.97,Rural
2019,Nov,1576.06,3150.6,Urbano
2019,Dic,1134.64,2056.85,Rural
2019,Dic,1598.52,3176.95,Urbano
2020,Ene,1149.18,2071.9,Rural
2020,Ene,1615.21,3195.43,Urbano
2020,Feb,1157.33,2082.14,Rural
2020,Feb,1623.19,3207.02,Urbano
2020,Mar,1169.89,2097.14,Rural
2020,Mar,1637.07,3224.8,Urbano
2020,Abr,1165.6,2086.67,Rural
2020,Abr,1632.51,3208.36,Urbano
2020,May,1179.75,2089.93,Rural
2020,May,1649.65,3204.16,Urbano
2020,Jun,1170.92,2086.57,Rural
2020,Jun,1640,3202.64,Urbano
2020,Jul,1179.12,2099.47,Rural
2020,Jul,1648.08,3217.82,Urbano
2020,Ago,1192.06,2116.62,Rural
2020,Ago,1661.39,3238.64,Urbano
